outcome,var,encoded,coef,odds_ratio,conf_lower,conf_upper,pval
death_ind,zip_code_ohe,2,0.5497591065113487,1.7328355387872207,1.2308984002263235,2.4394531700844615,0.0016297456691902745
death_ind,zip_code_ohe,3,0.2919882620137258,1.3390872993587035,0.9670749043386704,1.8542046611477596,0.07868219665998621
death_ind,zip_code_ohe,4,0.3269318107339783,1.3867069154295402,1.0244943221960314,1.8769806992958258,0.03428752772304233
death_ind,zip_code_ohe,5,0.32840170489816245,1.3887467266179787,1.027478626424299,1.8770390167665885,0.03265136985182426
death_ind,zip_code_ohe,6,0.25758452630150397,1.2938011665860314,0.9715307594383807,1.722973197088511,0.07800383052316295
death_ind,zip_code_ohe,7,0.367987285548211,1.444823668716216,1.0955116442216177,1.9055164266791578,0.009160311202908389
death_ind,zip_code_ohe,8,0.4064815038303521,1.501525368641046,1.1804144675333106,1.9099888172194108,0.0009292930810556044
death_ind,agegrp_at_event_ohe,0,1.4541004682857657,4.280631169736606,0.5992375968057239,30.57852729701348,0.14719324044655813
death_ind,agegrp_at_event_ohe,1,1.0182488364890188,2.768342696106827,2.1427412833896584,3.576596643979611,6.661338147750939e-15
death_ind,agegrp_at_event_ohe,2,0.3363672785268258,1.3998530663789293,1.0355643863280213,1.8922904585382097,0.028724898140692456
death_ind,agegrp_at_event_ohe,3,0.1406719539721945,1.1510469896507003,0.9262851087739394,1.4303470495575943,0.20438700540221877
death_ind,agegrp_at_event_ohe,4,0.04890093092461684,1.0501163115345509,0.8595819256647732,1.2828844288438273,0.6321333613916273
death_ind,agegrp_at_event_ohe,5,-0.15873945161822742,0.8532186347456583,0.7026365495139062,1.0360719765871462,0.10908813535988182
death_ind,delivery_type_ohe,0,0.4979660092636552,1.6453711950750747,1.435212158995864,1.8863039534704646,9.179323967600794e-13
death_ind,los2up_ind,0,-0.006056838368885569,0.9939614672998224,0.8113965088339473,1.2176037088163048,0.9533530312467202
death_ind,los3up_ind,0,0.4727439654651106,1.6043905509964105,1.4007143761283145,1.8376830308842094,8.790079775167214e-12
death_ind,los4up_ind,0,0.772258391456938,2.1646493633524546,1.8619719131942065,2.5165292951298457,0.0
death_ind,los5up_ind,0,1.0515979133962876,2.8622210472698058,2.3830656196508038,3.437718733332531,0.0
death_ind,los6up_ind,0,1.3828763769365706,3.986351401900542,3.2484532481867054,4.891865846708679,0.0
death_ind,los7up_ind,0,1.506039821699996,4.508839582828726,3.6022086856782134,5.643658143546872,0.0
death_ind,hist_HEP_ind,0,2.098455288663205,8.153565275095072,5.86067976850198,11.343500979619126,0.0
death_ind,hist_IHD_ind,0,1.758648293977421,5.804585995357845,2.406702196893235,13.999745635749344,9.031044622109796e-05
death_ind,hist_AST_ind,0,0.6078418016556619,1.8364636659012679,1.4802103098515835,2.27845919848625,3.3069240679139966e-08
death_ind,hist_LIV_ind,0,2.278351435078808,9.76057619522873,6.2572928171933935,15.225250031625823,0.0
death_ind,hist_AFIB_ind,0,-18.93361067139506,5.987387452908523e-09,0.0,inf,0.9985797171625519
